Graded Commit:f296c776715c7b95698ca7154c83f2bf764edb37

TEST NAME, POINTS,OUT OF
worker_suite/worker_test_1,1,1,
worker_suite/worker_test_2,1,1,
worker_suite/worker_test_3,1,1,
worker_suite/worker_test_4,1,1,
worker_suite/worker_test_5,1,1,
total,5,5
