Graded Commit:a270eaaff4abe7bab9e3fe092fb222697d2ed825

TEST NAME, POINTS,OUT OF
hstats_suite/hstats_quick_test_1,1,1,
hstats_suite/hstats_quick_test_2,1,1,
lstat_suite/no_follow_symlinks_test,1,1,
no_mb_suite/no_mb_verbose_test,1,1,
total,5,4
